FEloop,Hfield,V,R,sigma
30%MnS6RxxH3K,Field,Rx1,Rx2,
Temp,,,,
3.00017,-89999.64844,0.16864,-2.60136,#SPILL!
3.00017,-89999.72656,0.16854,-2.6545,#SPILL!
3.00017,-89999.71094,0.16836,-2.76077,#SPILL!
3.00017,-89999.6875,0.16845,-2.70764,#SPILL!
3.00017,-89999.70313,0.16845,-2.70764,#SPILL!
3.00017,-89999.625,0.16854,-2.6545,#SPILL!
3.00017,-89998,0.16827,-2.81391,#SPILL!
3.00017,-89922.71875,0.16845,-2.70764,#SPILL!
3.00017,-89838.98438,0.16854,-2.6545,#SPILL!
3.00017,-89732.16406,0.16845,-2.70764,#SPILL!
3.00017,-89624.05469,0.16854,-2.6545,#SPILL!
3.00017,-89515.27344,0.16854,-2.6545,#SPILL!
3.00017,-89428.07813,0.16864,-2.60136,#SPILL!
3.00017,-89318.53906,0.16836,-2.76077,#SPILL!
3.00017,-89208.98438,0.16864,-2.60136,#SPILL!
3.00017,-89099.26563,0.16864,-2.60136,#SPILL!
3.00017,-89011.69531,0.16845,-2.70764,#SPILL!
3.00017,-88901.74219,0.16836,-2.76077,#SPILL!
3.00017,-88791.71094,0.16854,-2.6545,#SPILL!
3.00017,-88682.07813,0.16845,-2.70764,#SPILL!
3.00017,-88594.20313,0.16864,-2.60136,#SPILL!
3.00017,-88484.45313,0.16864,-2.60136,#SPILL!
3.00017,-88374.57813,0.16836,-2.76077,#SPILL!
3.00017,-88286.73438,0.16864,-2.60136,#SPILL!
3.00017,-88154.75781,0.16845,-2.70764,#SPILL!
3.00017,-88067.05469,0.16854,-2.6545,#SPILL!
3.00017,-87957.27344,0.16854,-2.6545,#SPILL!
3.00017,-87869.46094,0.16854,-2.6545,#SPILL!
3.00017,-87759.64063,0.16854,-2.6545,#SPILL!
3.00017,-87649.77344,0.16845,-2.70764,#SPILL!
3.00017,-87539.84375,0.16854,-2.6545,#SPILL!
3.00017,-87452.01563,0.16854,-2.6545,#SPILL!
3.00017,-87342.28125,0.16854,-2.6545,#SPILL!
3.00017,-87232.14844,0.16854,-2.6545,#SPILL!
3.00017,-87122.58594,0.16864,-2.60136,#SPILL!
3.00017,-87034.75781,0.16864,-2.60136,#SPILL!
3.00017,-86924.92187,0.16854,-2.6545,#SPILL!
3.00017,-86815.15625,0.16854,-2.6545,#SPILL!
3.00017,-86727.25,0.16854,-2.6545,#SPILL!
3.00017,-86617.28125,0.16854,-2.6545,#SPILL!
3.00017,-86507.47656,0.16845,-2.70764,#SPILL!
3.00017,-86419.67969,0.16864,-2.60136,#SPILL!
3.00017,-86287.86719,0.16845,-2.70764,#SPILL!
3.00017,-86200.03125,0.16864,-2.60136,#SPILL!
3.00017,-86090.16406,0.16864,-2.60136,#SPILL!
3.00017,-86002.41406,0.16854,-2.6545,#SPILL!
3.00017,-85892.42969,0.16854,-2.6545,#SPILL!
3.00017,-85782.59375,0.16845,-2.70764,#SPILL!
3.00017,-85672.53906,0.16854,-2.6545,#SPILL!
3.00017,-85562.85938,0.16864,-2.60136,#SPILL!
3.00017,-85452.92188,0.16864,-2.60136,#SPILL!
3.00017,-85365.09375,0.16854,-2.6545,#SPILL!
3.00017,-85255.24219,0.16854,-2.6545,#SPILL!
3.00017,-85167.28906,0.16854,-2.6545,#SPILL!
3.00017,-85057.53125,0.16864,-2.60136,#SPILL!
3.00017,-84947.82031,0.16845,-2.70764,#SPILL!
3.00017,-84838.01563,0.16854,-2.6545,#SPILL!
3.00017,-84749.92969,0.16845,-2.70764,#SPILL!
3.00017,-84640.22656,0.16845,-2.70764,#SPILL!
3.00017,-84530.375,0.16845,-2.70764,#SPILL!
3.00017,-84442.70313,0.16836,-2.76077,#SPILL!
3.00017,-84332.75781,0.16854,-2.6545,#SPILL!
3.00017,-84222.97656,0.16854,-2.6545,#SPILL!
3.00017,-84113.08594,0.16836,-2.76077,#SPILL!
3.00017,-84025.21875,0.16854,-2.6545,#SPILL!
3.00017,-83915.375,0.16854,-2.6545,#SPILL!
3.00017,-83805.54688,0.16854,-2.6545,#SPILL!
3.00017,-83717.73438,0.16845,-2.70764,#SPILL!
3.00017,-83585.97656,0.16845,-2.70764,#SPILL!
3.00017,-83498.02344,0.16854,-2.6545,#SPILL!
3.00017,-83388.21875,0.16845,-2.70764,#SPILL!
3.00017,-83300.46875,0.16864,-2.60136,#SPILL!
3.00017,-83190.61719,0.16854,-2.6545,#SPILL!
